stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,1,9.0,18.519795899977908,,18.50581170001533,18.519795899977908,19.01671090000309,19.01671090000309,19.033208500011824,19.31739630002994,19.45541279995814,left,-9.0,1,1,0.425306300050579,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
11,1,8.0,19.467534399940632,,19.455671799951233,19.467534399940632,19.967051699990407,19.967051699990407,19.967051699990407,20.266913900035433,20.451133799972013,right,8.0,1,1,0.48288689996115863,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
12,1,8.0,20.466429300024174,,20.45123230002355,20.466429300024174,20.951466799946502,20.951466799946502,20.96722809993662,21.250874000019394,21.28560349997133,right,8.0,0,0,0.3261052999878302,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
13,1,9.0,21.30057800002396,,21.28582400002051,21.30057800002396,21.784908500034362,21.784908500034362,21.801988099934533,22.085519499960355,22.96966139995493,right,9.0,1,1,1.1753124999813735,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
14,1,9.0,22.983442400000058,,22.96981199993752,22.983442400000058,23.483399100019597,23.483399100019597,23.483399100019597,23.78280319995247,24.021034399978817,right,9.0,1,1,0.5234713000245392,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
15,0.5,9.0,24.034574599936604,,24.0212765999604,24.034574599936604,24.53351910004858,24.53351910004858,24.550215299939737,24.833836199948564,25.15331409999635,left,-9.0,1,1,0.6024444999638945,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
16,0.5,8.5,25.16678910003975,,25.153557399986312,25.16678910003975,25.666516999946907,25.666516999946907,25.666516999946907,25.966722000041045,26.16935119999107,left,-8.5,1,1,0.5002873999765143,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
17,0.5,8.5,26.183448700001463,,26.169514299952425,26.183448700001463,26.68456049996894,26.68456049996894,26.68456049996894,26.984622000018135,27.2998857999919,right,8.5,1,1,0.6016782999504358,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
18,0.5,8.5,27.315513900015503,,27.299971299944445,27.315513900015503,27.801392799941823,27.801392799941823,27.816384200006723,28.09950450004544,28.252097100019455,left,-8.5,1,1,0.43931819999124855,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
19,0.5,8.0,28.26690030004829,,28.252279300009832,28.26690030004829,28.76636749994941,28.76636749994941,28.76636749994941,29.0653878999874,29.32096859999001,left,-8.0,1,1,0.5465489999623969,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
20,0.5,8.0,29.334092100034468,,29.32126110000536,29.334092100034468,29.833972199936397,29.833972199936397,29.833972199936397,30.149690099991858,30.62004299997352,left,-8.0,1,1,0.7751280999509618,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
21,0.5,8.0,30.63313890004065,,30.620293300016783,30.63313890004065,31.132124800002202,31.132124800002202,31.14869499998167,31.432475900044665,31.767158400034532,right,8.0,1,1,0.6243910000193864,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
22,0.5,7.5,31.782081500045024,,31.767297100042924,31.782081500045024,32.282375899958424,32.282375899958424,32.282375899958424,32.58186489995569,32.901508199982345,right,7.5,1,1,0.6019809999270365,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
