key_resp.keys,key_resp.corr,key_resp.rt,,,seqRT,ranRT
v,1,0.3420531,,,0.3420531,0.7826477
c,1,0.2680515,,,0.2680515,0.4287359
z,1,0.4692116,,,0.4692116,0.2791413
x,1,0.4240134,,,0.4240134,1.2955464
v,1,0.4167776,,,0.4167776,0.6975913
c,1,0.2920249,,,0.2920249,0.3750633
z,1,0.28705,,,0.28705,0.2745982
x,1,0.3988833,,,0.3988833,0.7711035
v,1,0.265267,,,0.265267,0.8308464
c,1,0.302983,,,0.302983,0.6934206
z,1,0.3252881,,,0.3252881,0.2524471
x,1,0.2640732,,,0.2640732,0.8471976
v,1,0.2997309,,,0.2997309,0.9324423
c,1,0.2243063,,,0.2243063,0.786946
z,1,0.2504254,,,0.2504254,0.255673
x,1,0.2921963,,,0.2921963,1.0260927
v,1,0.1582011,,,0.1582011,0.7934229
c,1,0.2351399,,,0.2351399,0.8932576
z,1,0.0676982,,,0.0676982,0.2416604
x,1,0.2928164,,,0.2928164,0.5911856
v,1,0.2644209,,,0.2644209,0.7080913
c,1,0.2650369,,,0.2650369,0.7752538
z,1,0.0969306,,,0.0969306,0.0366097
x,1,0.2913691,,,0.2913691,0.7288767
v,1,0.5671265,,,0.5671265,0.3698426
c,1,0.2308481,,,0.2308481,0.3587415
z,1,0.2963457,,,0.2963457,0.2489833
x,1,0.4759111,,,0.4759111,1.082756
v,1,0.2623517,,,0.2623517,0.761964
c,1,0.2516976,,,0.2516976,0.343004
z,1,0.3118968,,,0.3118968,0.2615915
x,1,0.592199,,,0.592199,0.6982276
v,1,0.7799402,,,0.7799402,0.5782349
c,1,0.0409553,,,0.0409553,0.6393704
z,1,0.2576056,,,0.2576056,0.284502
x,1,0.2795015,,,0.2795015,0.6787098
v,1,0.3997458,,,0.3997458,0.8442264
c,1,0.2368375,,,0.2368375,0.4291965
z,1,0.2822834,,,0.2822834,0.4077953
x,1,0.3657493,,,0.3657493,1.1741796
v,1,0.3116075,,,0.3116075,1.4513279
c,1,0.3289637,,,0.3289637,1.5794272
z,1,0.2938643,,,0.2938643,0.855079
x,1,0.3035373,,,0.3035373,0.7539675
v,1,0.9443293,,,0.9443293,0.7937491
c,1,0.3544759,,,0.3544759,0.7657659
z,1,0.3264063,,,0.3264063,0.3786682
x,1,0.6433127,,,0.6433127,0.8432245
v,1,1.0519187,,,1.0519187,1.3796145
c,1,0.6015013,,,0.6015013,0.5821405
z,1,0.0697768,,,0.0697768,0.6538551
x,1,0.2734604,,,0.2734604,0.9150857
v,1,0.9872352,,,0.9872352,1.0740749
c,1,4.2135025,,,4.2135025,0.635285
z,1,2.6258989,,,2.6258989,0.3160142
x,1,2.7440396,,,2.7440396,2.751057
v,1,0.3353998,,,0.3353998,0.7999607
c,1,0.5836222,,,0.5836222,0.5320709
z,1,0.2950421,,,0.2950421,0.3059996
x,1,0.3225473,,,0.3225473,0.8473818
v,1,0.3007881,,,0.3007881,0.9346024
c,1,0.235783,,,0.235783,2.4291309
z,1,0.265804,,,0.265804,1.0272442
x,1,0.4979003,,,0.4979003,0.7964751
v,1,0.0821748,,,0.0821748,1.1068292
c,1,0.3043572,,,0.3043572,0.7036094
z,1,0.3044916,,,0.3044916,0.4200879
x,0,0.4738039,,,,
v,0,0.2811584,,,,
c,0,0.3764043,,,,
x,1,0.9911414,,,,
x,1,0.6460504,,,,
c,1,0.6861539,,,,
z,1,0.7897405,,,,
v,1,0.6537994,,,,
x,1,0.5789712,,,,
c,1,0.5822569,,,,
z,1,0.8957694,,,,
v,1,0.5321632,,,,
z,1,0.5889684,,,,
v,1,0.4881788,,,,
c,1,0.6252716,,,,
x,1,0.4678835,,,,
z,1,0.6075338,,,,
x,1,0.4521557,,,,
v,1,0.6223191,,,,
c,1,0.5424285,,,,
z,1,0.5275518,,,,
v,1,0.4172554,,,,
c,1,0.6412511,,,,
x,1,0.4567873,,,,
x,1,0.5502334,,,,
c,1,0.6964296,,,,
v,1,0.5401151,,,,
z,1,1.2577181,,,,
x,1,0.5907732,,,,
c,1,0.5453174,,,,
v,1,0.4560145,,,,
z,1,0.3766362,,,,
v,1,0.3845413,,,,
c,1,0.5991455,,,,
x,1,0.9750131,,,,
z,1,0.7616142,,,,
v,1,0.7398812,,,,
z,1,0.4605614,,,,
c,1,0.6099969,,,,
x,1,0.7738836,,,,
c,1,0.7850937,,,,
z,1,0.5587924,,,,
v,1,0.5198653,,,,
x,1,0.9987479,,,,
z,1,0.6415759,,,,
x,1,0.7169278,,,,
c,1,0.6258028,,,,
v,1,1.0170772,,,,
x,1,1.8684576,,,,
z,1,0.7289496,,,,
v,1,0.541921,,,,
c,1,0.6001092,,,,
c,1,0.7874547,,,,
z,1,0.6806352,,,,
v,1,0.5772959,,,,
x,1,0.7734463,,,,
x,1,0.937338,,,,
c,1,0.5708792,,,,
z,1,0.4913462,,,,
v,1,0.5778901,,,,
c,1,0.7718011,,,,
v,1,1.4688488,,,,
x,1,1.3754655,,,,
z,1,0.4824571,,,,
z,1,0.7883363,,,,
v,1,0.4535914,,,,
x,1,0.7301483,,,,
c,1,0.8046518,,,,
c,1,0.655715,,,,
x,1,0.7979778,,,,
v,1,0.5208804,,,,
z,1,0.495312,,,,
c,1,1.3634212,,,,
x,1,1.0348031,,,,
z,1,1.2764396,,,,
