ImageFile,CorrectResponse,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,image_presenation.started,key_resp.started,fixation.started,fixation.stopped,image.started,DistractorText.started,image_presenation.stopped,trials.key_resp.keys,trials.key_resp.corr,blank_screen.started,blank_screen.stopped,response.started,textbox.started,key_resp_2.started,participant,session,gender,date,expName,psychopyVersion,frameRate,expStart,
image6.jpg.JPG,None,0,0,0,None,1,0,0,0,5,0.29096700000809506,,0.28658340001129545,0.29096700000809506,0.29096700000809506,0.8930593999975827,1.1406603000068571,1.5138969999970868,1.5226474000082817,None,1,1.5228099999949336,1.523699499986833,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image15.jpg.JPG,None,1,1,0,None,1,0,1,1,14,1.9741140000114683,,1.9706755999941379,1.9741140000114683,1.9741140000114683,2.5751813999959268,2.5316687999875285,3.0358636000019033,3.0477094000088982,None,1,3.0479028999980073,3.0490096999856178,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image18.jpg.JPG,space,2,2,0,None,0,0,2,2,22,3.459630900004413,,3.4559637999918777,3.459630900004413,3.459630900004413,4.066867899993667,4.066867899993667,4.566588599991519,4.576796799985459,None,0,4.576965599990217,4.577855999988969,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image16.jpg.JPG,None,3,3,0,None,1,0,3,3,15,5.0288650000002235,,5.025384799984749,5.0288650000002235,5.0288650000002235,5.628434999991441,5.600175500003388,6.099336299987044,6.110565299983136,None,1,6.110770200000843,6.111846399988281,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image4.jpg.JPG,space,4,4,0,None,0,0,4,4,28,6.519188500009477,,6.515560200001346,6.519188500009477,6.519188500009477,7.127942899998743,7.127942899998743,7.634130499995081,7.646986799984006,None,0,7.647201999992831,7.648235500004375,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image9.jpg.JPG,space,5,5,0,None,0,0,5,5,25,7.760405699984403,,7.756187899998622,7.760405699984403,7.760405699984403,8.37529570001061,8.658992499986198,9.161304499983089,9.171071799995843,None,0,9.171257200010587,9.17224489999353,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image15.jpg.JPG,space,6,6,0,None,0,0,6,6,29,9.601226200000383,,9.597713199997088,9.601226200000383,9.601226200000383,10.199090999987675,10.183854000002611,10.684896399994614,10.69805949999136,None,0,10.69827580000856,10.699311900010798,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image4.jpg.JPG,None,7,7,0,None,1,0,7,7,3,11.125283400004264,,11.108976099989377,11.125283400004264,11.125283400004264,11.723798999999417,11.709981699998025,12.217014299996663,12.228959900006885,None,1,12.229160899994895,12.230217600008473,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image13.jpg.JPG,None,8,8,0,None,1,0,8,8,12,12.67180909999297,,12.66309079999337,12.67180909999297,12.67180909999297,13.276745299983304,13.24740870000096,13.750763899995945,13.76354149999679,None,1,13.76374450000003,13.764790599991102,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image3.jpg.JPG,None,9,9,0,None,1,0,9,9,2,14.216259000007994,,14.212667699990561,14.216259000007994,14.216259000007994,14.825814499985427,14.781182300008368,15.283236199989915,15.295107199985068,None,1,15.295301899983315,15.29637460000231,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image3.jpg.JPG,space,10,10,0,None,0,0,10,10,21,15.765444099990418,,15.761924699996598,15.765444099990418,15.765444099990418,16.37535139999818,16.31514089999837,16.815928399999393,16.82616820000112,None,0,16.82634070000495,16.827351499989163,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image18.jpg.JPG,None,11,11,0,None,1,0,11,11,17,17.242974499997217,,17.234313199995086,17.242974499997217,17.242974499997217,17.865104500000598,17.84928470000159,18.349255300010554,18.361498899990693,None,1,18.361694499995792,18.362734499998624,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
image19.jpg.JPG,None,12,12,0,None,1,0,12,12,18,18.817331500002183,,18.807058100006543,18.817331500002183,18.817331500002183,19.425700899999356,19.38156509998953,19.881996299984166,19.893841099983547,None,1,19.89403530000709,19.89503230000264,,,,unnati,001,,2024-12-03_19h32.21.872,image_repeat_task,2024.2.4,59.849060665803,2024-12-03 19h32.39.465484 +0530,
