ImageFile,CorrectResponse,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Introduction.started,text_2.started,key_resp_3.started,Introduction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,image_presenation.started,key_resp.started,fixation.started,image.started,fixation.stopped,DistractorText.started,image_presenation.stopped,trials.key_resp.keys,trials.key_resp.corr,blank_screen.started,blank_screen.stopped,trials.key_resp.rt,trials.key_resp.duration,response.started,textbox.started,key_resp_2.started,text.started,text.stopped,response.stopped,textbox.text,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,gender,R/B,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,0.0036227,0.0184681,0.0184681,16.3425443,x,16.3109418,None,,,,,,,,,,,,,,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
image5.jpg.JPG,None,0,0,0,None,1,,,0,0,0,4,16.8746015,,,,,,,,,16.8585852,16.8746015,16.8746015,17.4529346,17.4907353,17.8532932,17.8600911,None,1,17.8602383,17.8608108,,,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
image19.jpg.JPG,None,1,1,0,None,1,,,0,1,1,18,18.4072782,,,,,,,,,18.4018964,18.4072782,18.4072782,18.8748268,19.0153765,19.3744801,19.3848073,None,1,19.3850772,19.3858134,,,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
image8.jpg.JPG,None,2,2,0,None,1,,,0,2,2,7,19.4673211,,,,,,,,,19.462358,19.4673211,19.4673211,20.3999466,20.0663245,20.9016754,20.9115015,None,1,20.9117489,20.912808,,,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
image20.jpg.JPG,None,3,3,0,None,1,,,0,3,3,19,21.1217884,,,,,,,,,21.1163116,21.1217884,21.1217884,21.9152957,21.731962,22.4168932,22.4227929,None,1,22.4229026,22.4234382,,,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
image10.jpg.JPG,None,4,4,0,None,1,,,0,4,4,9,22.5773879,,,,,,,,,22.5714033,22.5773879,22.5773879,23.4320247,23.1816437,23.9325153,23.9399776,None,1,23.9401085,23.9407914,,,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
image18.jpg.JPG,None,5,5,0,None,1,,,0,5,5,17,24.4759838,,,,,,,,,24.4700652,24.4759838,24.4759838,24.9751529,25.0862201,25.4591616,25.4710281,None,1,25.4712148,25.4721931,,,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
image2.jpg.JPG,None,6,6,0,None,1,,,0,6,6,1,25.9600098,,,,,,,,,25.9560036,25.9600098,25.9600098,26.4875878,26.5681585,26.9897313,27.0002811,None,1,27.000459,27.001361,,,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
image20.jpg.JPG,space,7,7,0,None,0,,,0,7,7,24,27.1575954,,,,,,,,,27.1525627,27.1575954,27.1575954,28.0150795,27.765683,28.5144391,28.5222641,None,0,28.5223734,28.5229173,,,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
image9.jpg.JPG,None,8,8,0,space,0,0.1422596,None,0,8,8,8,28.6105474,,,,,,,,,28.6051104,28.6105474,28.6105474,,,,28.7738466,space,0,28.77397,28.7745592,0.1422596,None,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
image4.jpg.JPG,space,9,9,0,None,0,,,0,9,9,28,29.2095588,,,,,,,,,29.1958841,29.2095588,29.2095588,29.7861738,29.8141769,30.2825547,30.2883479,None,0,30.2884687,30.289009,,,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
image7.jpg.JPG,None,10,10,0,None,1,,,0,10,10,6,30.471168,,,,,,,,,30.4654695,30.471168,30.471168,31.2980906,31.0805954,31.7975031,31.8032855,None,1,31.8033947,31.8038827,,,,,,,,,,,,,p3,1,f,R,2024-12-03_23h38.45.887,image_repeat_task,2024.2.4,60.12104771,2024-12-03 23h39.13.311258 +0530
